Component,Origin,License
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/websearch",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.0/websearch/websearchapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.1/customvision/prediction",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v1.2/customvision/training",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.0/computervision",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.0/luis/authoring",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.0/luis/authoring/authoringapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.0/luis/programmatic",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.0/luis/runtime",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.0/textanalytics",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.1/computervision",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.1/computervision/computervisionapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.1/customvision/training",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.1/textanalytics",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/cognitiveservices/v2.1/textanalytics/textanalyticsapi",Apache-2.0
